"Código Dane departamento","Departamento","Código Dane municipio","Municipio","Grupo cultivo","Subgrupo","Cultivo","Desagregación cultivo","Año","Periodo","Área sembrada","Área cosechada","Producción","Rendimiento","Ciclo del cultivo","Estado físico del cultivo","Código del cultivo","Nombre científico del cultivo"
"5","Antioquia","5001","Medellín","Frutales","Demás frutales","Aguacate","Aguacate demás variedades","2019","2019","24","23","138","600","Permanente","En fresco","2040299","Persea americana"
"5","Antioquia","5001","Medellín","Frutales","Demás frutales","Brevo","Brevo","2019","2019","15","15","105","700","Permanente","En fresco","2041100","Ficus carica L."
"5","Antioquia","5001","Medellín","Frutales","Demás frutales","Fresa","Fresa","2019","2019","29","29","203","700","Permanente","En fresco","2042700","Fragaria vesca"
"5","Antioquia","5001","Medellín","Frutales","Mirtáceas","Guayaba","Guayaba","2019","2019","2.5","2.5","10","400","Permanente","En fresco","2043000","Psidium guajava L."
"5","Antioquia","5001","Medellín","Frutales","Cítricos","Lima","Lima","2019","2019","7.5","7","56","800","Permanente","En fresco","2043500","Citrus limetta Risso & Porteau"
"5","Antioquia","5001","Medellín","Frutales","Cítricos","Mandarina","Mandarina arrayana y/o oneco","2019","2019","14.5","14","84","600","Permanente","En fresco","2044101","Citrus reticulata"
"5","Antioquia","5001","Medellín","Frutales","Demás frutales","Mango","Mango demás variedades","2019","2019","8","8","48","600","Permanente","En fresco","2044299","Mangifera indica L"
"5","Antioquia","5001","Medellín","Frutales","Demás frutales","Mora","Mora","2019","2019","146","146","1,022.00","700","Permanente","En fresco","2044700","Morus ssp"
"5","Antioquia","5001","Medellín","Frutales","Cítricos","Naranja","Naranja valencia","2019","2019","12.5","12","84","700","Permanente","En fresco","2044903","Citrus sinensis L. OSBECK"
"5","Antioquia","5001","Medellín","Frutales","Demás frutales","Plátano","Plátano consumo interno","2019","2019","160","160","960","600","Permanente","En fresco","2045802","Musa paradisiaca L."
"5","Antioquia","5001","Medellín","Frutales","Solanáceas","Tomate de árbol","Tomate de árbol","2019","2019","35","35","350","1000","Permanente","En fresco","2046300","Solanum betaceum"
"5","Antioquia","5001","Medellín","Hortalizas","Hortalizas de raíz","Ajo","Ajo","2019","2019A","3","3","12","400","Transitorio","En fresco","1050400","Allium sativum"
"5","Antioquia","5001","Medellín","Hortalizas","Hortalizas de tallo","Apio","Apio","2019","2019A","12","12","228","1900","Transitorio","En fresco","1050600","Apium graveolens"
"5","Antioquia","5001","Medellín","Hortalizas","Hortalizas de raíz","Cebolla de bulbo","Cebolla de bulbo","2019","2019A","8","8","112","1400","Transitorio","En fresco","1051100","Allium cepa"
"5","Antioquia","5001","Medellín","Hortalizas","Hortalizas de tallo","Cebolla de rama","Cebolla de rama","2019","2019A","80","80","1040","1300","Transitorio","En fresco","1051200","Allium fistulosum"
"5","Antioquia","5001","Medellín","Hortalizas","Hortalizas de hoja","Cilantro","Cilantro","2019","2019A","28","28","140","500","Transitorio","En fresco","1051300","Coriandrum sativum"
"5","Antioquia","5001","Medellín","Hortalizas","Hortalizas de hoja","Col","Col","2019","2019A","19","19","95","500","Transitorio","En fresco","1051400","Brassica oleracea var. acephala"
